shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
100,         0,         0,    52.3,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
100,         0,         0,    51.7,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
100,         0,         0,    93.4,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
100,         0,         0,   206.9,beam64_640iters,f92bfc37ea7346fe7ff4938dbec4804e99bbe890f783539f9f025bc5ce13d810,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
100,         0,         0,   562.3,beam64_640iters,516a63de5314a33d227139535ddc591d06b350b4fe093073c091dec6b2f19983,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
100,         1,         0,   562.9,bp30+osd,85926fbc4284c0877bdd8310af296167b386fba8607baa784ed702732fdcfb1b,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
100,        25,         0,   692.4,bp30+osd,7efb02871d1796b749dc59b1901f515d51b7aad67453fe2bf39537062a84d6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
100,         0,         0,   526.5,bp30+osd,6057dfce1cc497d1aed2874f085f4d3987af828cfb9d669ae3f438efa8f0cfbf,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
100,        28,         0,   690.2,bp30+osd,1b824edc254fa50055f2070d1bc2078a5a52e7eb507f80594df2e0b0c293f676,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
100,        11,         0,   649.6,bp30+osd,a3fe6eb961f6c36113c37a48fa1993f2d10eb507107995b90738ab41b38070fa,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
100,         6,         0,   619.6,bp30+osd,2dfa295972ff3f36fe5ee07becf1c8a34f062d8fe286ecce339e92d9e11e9e87,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
100,         0,         0,   539.8,beam64_640iters,8cc9b73dac566276603cce0aee31092520aebdaf7d33f5cfc01bcec13336b8b8,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
100,        63,         0,   784.2,bp30+osd,d92a243cb3c37fc126090bb656263b53b062e61dd33d6b94b9ece081894e7601,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
100,         7,         0,  5195.3,beam64_640iters,62421bbf2b80b394a9a5b754995ef578acc5b62a22953874d47766f77133751a,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
100,        60,         0,   758.7,bp30+osd,69bde1497dd555aea4284afeecd0dde45a5e14818337ae88cf73bfbe84442d0d,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
100,         2,         0,  3455.3,beam64_640iters,0a4d589cf5a9dcc6337bfbbce53222cb205cd61d04346ba1d585a664747da982,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.005,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
