     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.011,beam64_640iters,1da9496ec9ff2a956ad821e9df593f15cb051678d65774d03b46f897f7a9dd38,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""z""}",
         1,         0,         0,   0.018,beam64_640iters,b43a8eb5a69a5e686b44b070dedcbb9037da8d816a4b5d3de2c1068f376f02ab,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""x""}",
        17,         0,         0,   0.042,beam8_230iters,76c0d1d0ff23f8f82a33f00cf51daa75e692cf149cca56f978c4f9c935d94ed2,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""x""}",
        17,         0,         0,   0.068,beam8_230iters,7436ca93ca3fed366ab3831a50ea6dfe11b09b7fd8f2dc9f5e75357352e3302b,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""z""}",
        17,         0,         0,   0.060,beam8_230iters,ece396bfdfe2eb32f52db27b9fe8f650ff31358317fd7eb71ca2ec0cc7220ba1,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""z""}",
        17,         0,         0,   0.156,bp30+osd,34b663141f61b5eeb8a36d1074790a5a8cb8a08c2c6d644ae77cb7d0390d410d,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""x""}",
        16,         0,         0,   0.172,beam64_640iters,1da9496ec9ff2a956ad821e9df593f15cb051678d65774d03b46f897f7a9dd38,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""z""}",
        16,         0,         0,   0.143,beam64_640iters,b43a8eb5a69a5e686b44b070dedcbb9037da8d816a4b5d3de2c1068f376f02ab,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""x""}",
        17,         0,         0,   0.228,bp30+osd,080bdaab2ff5c6e444c58949177fcf7bcf779ae482ba25835cb0ba95659f838a,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""z""}",
        17,         0,         0,   0.242,bp30+osd,6300e54e7a24e0e2081023dd156ad585c32cadbffb92d04eae8c674c29993bbe,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""x""}",
         1,         1,         0,   0.245,beam8_230iters,1ce20489f816f235e3b10874ef4d5fc5d0d4d245cd76cf252b35b988049f9d49,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""x""}",
        83,         0,         0,   0.254,beam8_230iters,76c0d1d0ff23f8f82a33f00cf51daa75e692cf149cca56f978c4f9c935d94ed2,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""x""}",
        17,         0,         0,   0.339,beam64_640iters,b4a201834150cff641a0e8429e7946ad406ac866751feb98485761208ffa32ee,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""x""}",
        32,         0,         0,   0.201,beam64_640iters,1da9496ec9ff2a956ad821e9df593f15cb051678d65774d03b46f897f7a9dd38,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""z""}",
        17,         0,         0,   0.352,bp30+osd,4703fc6618ce9b5bc43c87d286069b193d83e487d9c793061c92a4ab5a120b55,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""z""}",
        83,         0,         0,   0.322,beam8_230iters,ece396bfdfe2eb32f52db27b9fe8f650ff31358317fd7eb71ca2ec0cc7220ba1,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""z""}",
        32,         0,         0,   0.243,bp30+osd,34b663141f61b5eeb8a36d1074790a5a8cb8a08c2c6d644ae77cb7d0390d410d,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""x""}",
        34,         0,         0,   0.123,beam8_230iters,1ce20489f816f235e3b10874ef4d5fc5d0d4d245cd76cf252b35b988049f9d49,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""x""}",
        32,         0,         0,   0.246,bp30+osd,080bdaab2ff5c6e444c58949177fcf7bcf779ae482ba25835cb0ba95659f838a,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""z""}",
