     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.215,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,   0.205,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,   0.474,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    1.15,beam64_640iters,f92bfc37ea7346fe7ff4938dbec4804e99bbe890f783539f9f025bc5ce13d810,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,   0.884,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         2,         0,         0,    1.49,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,   0.291,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,   0.659,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,   0.376,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         2,         0,         0,    2.34,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         2,         0,         0,   0.691,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,   0.351,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,   0.577,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,   0.290,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         2,         0,         0,   0.638,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    2.17,beam64_640iters,f92bfc37ea7346fe7ff4938dbec4804e99bbe890f783539f9f025bc5ce13d810,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,   0.527,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,   0.221,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         2,         0,         0,   0.585,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,   0.567,beam64_640iters,f92bfc37ea7346fe7ff4938dbec4804e99bbe890f783539f9f025bc5ce13d810,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         2,         0,         0,   0.768,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         2,         0,         0,    1.36,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,   0.529,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         2,         0,         0,   0.839,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,   0.313,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         2,         0,         0,    1.95,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,   0.375,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         2,         0,         0,   0.732,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,    1.07,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,   0.379,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    1.18,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         2,         0,         0,    1.53,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,   0.799,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    7.78,beam64_640iters,516a63de5314a33d227139535ddc591d06b350b4fe093073c091dec6b2f19983,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,   0.244,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         1,         0,         0,   0.571,beam64_640iters,516a63de5314a33d227139535ddc591d06b350b4fe093073c091dec6b2f19983,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    1.49,beam64_640iters,4e56375f5359fad7d2ff355ff4a1f84f67bc21a68b76055a2df5bb15265af831,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.003,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         2,         0,         0,    1.15,beam64_640iters,a99589b5a758bdf59a9b387b1732d487392c442f4a1a664babf6596f8754dea7,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_z""}",
         2,         0,         0,    1.39,beam64_640iters,bdd59aba34a17cd74a2b71938c89d533856e31f2f4ba1d1c0f8ad1d97b6aa79c,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    7.71,bp30+osd,85926fbc4284c0877bdd8310af296167b386fba8607baa784ed702732fdcfb1b,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.002,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,   0.893,beam64_640iters,516a63de5314a33d227139535ddc591d06b350b4fe093073c091dec6b2f19983,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,    8.05,bp30+osd,7efb02871d1796b749dc59b1901f515d51b7aad67453fe2bf39537062a84d6da,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
         1,         0,         0,   0.302,beam64_640iters,516a63de5314a33d227139535ddc591d06b350b4fe093073c091dec6b2f19983,"{""code"":""[[90, 8, 10]] BB code"",""p_CNOT"":0.004,""syndrome_rounds"":10,""x_or_z"":""xyz_x""}",
